LabelNo,HuntName,Landmark?,ItemClass,Genus,Species,Genus_Species,Description,Hints,MinAltitude,MaxAltitude,Abundance,RarityScore,DifficultyLevel,Endemic?,Scavenger?,Predator?,Decomposer?,CarbonHungry?,Flowering?
0,Oregon Maple,0,Magnoliopsida,Acer,macrophyllum,Acer_Macrophyllum,"This is the largest tree of all the maple species. Natives historically harvested bigleaf maple branches and twigs. They used its bark for making rope, the wood for utensils and canoe paddles, and the shoots for baskets.","If you're not in time to see this trees large yellow leaves, perhaps you can spot one by its multiple trunks.",2500,5500,Common,5,Med,1,0,0,0,1,1
1,California buckeye,0,Magnoliopsida,Aesculus,californica,Aesculus_Californica,Young buckeye shoots were sometimes used as spindles or twirling sticks in fire-making kits. Many tribes mashed buckeye nuts and poured the contents into quiet pools to stupefy or kill fish.,"A deciduous, small tree, normally growing to 15'. The showy 6"" creamy- scented flower spikes appear in April-May.",1500,5000,Uncommon,7,Med,1,0,0,0,1,1
2,Showy milkweed,0,Magnoliopsida,Asclepias,speciosa,Asclepias_Speciosa,"The sap of showy milkweed was used by some desert tribes to heal sores and cuts, and to cure warts and ringworm. Tea made from the rhizomes was a remedy for measles or coughs.","Look in pastures, meadows, forest clearings, untilled fields, roadsides, and ditch banks.",0,6200,Common,5,Med,1,0,0,0,0,1
3,Incense cedar,0,Pinopsida,Calocedrus,decurrens,Calocedrus_Decurrens,"Cedar is one of the most important Native American ceremonial plants, used by many tribes as an incense and purifying herb. Cedar is especially associated with prayer, healing, dreams, and protection against disease.","Often confused with the sequoia, use your senses to help ""sniff out"" this conifer.",160,9510,Abundant,1,Easy,1,0,0,0,0,0
4,Great red paintbrush,0,Magnoliopsida,Castilleja,miniata,Castilleja_Miniata,"The flowers of Indian paintbrush are edible, and were consumed in moderation by various Native American tribes as a condiment with other fresh greens. Indian paintbrush has similar health benefits to consuming garlic if only the flowers are eaten in small amounts.","This parasitic plant grows up to 2.5 feet tall, and is bright red due to its lack of photosynthesis.",5000,15000,Common,5,Med,1,0,0,0,0,1
5,Pacific dogwood,0,Magnoliopsida,Cornus,nuttallii,Cornus_Nuttallii,"Natives used the hard, dried wood for harpoon shafts and other implements.  It is known to soothe a stomach ache. The wood has also been used to make thread spindles, golf club heads and piano keys.","Pacific dogwood grows best on well-drained soils, often underneath Douglas-fir.",4000,6000,Common,5,Med,1,0,0,0,1,1
6,Common Raven,0,Aves,Corvus,corax,Corvus_Corax,"Known as the transformer of worlds and a selfish trickster in northwest coastal native cultures. Ravens have among the largest brains of any bird. They have a high aptitude for problem solving and play, and are one of few species to make their own toys.",I'm all around the campsites looking for food you left behind.,0,15000,Abundant,1,Easy,0,1,1,0,0,0
7,Californian Poppy,0,Magnoliopsida,Eschscholzia,californica,Eschscholzia_Californica,"Aside from being the CA state flower, in combination with other herbs, California poppy is used for depression, long-term mental and physical tiredness (neurasthenia), nerve pain, various psychiatric conditions, blood vessel problems, sensitivity to weather changes, and sedation.","Look for the lively orange, red and yellow in this iconic California flower.",0,6500,Uncommon,7,Med,1,0,0,0,0,1
8,Western juniper,0,Pinopsida,Juniperus,occidentalis,Juniperus_Occidentalis,"Its crushed bark was sometimes twisted into a rope, and tied at intervals with yucca  and wrapped into a coil. The free end was set on fire and kept smouldering by blowing on it at intervals. Fire could be carried in this fashion for several hours.",The back of each needle has a white or clear resin dot.,0,10000,Common,5,Med,1,0,0,0,0,0
9,Black tailed Deer,0,Mammalia,Odocoileus,hemionus,Odocoileus_Hemionus,"Since about 12,000 BCE these animals have been hunted by CA indigenous peoples. They used the deer skin for clothing and bones for tools.",Look in the brush for this grazing beauty,2000,10000,Common,5,Med,1,0,0,0,0,0
10,Whitebark pine,0,Pinopsida,Pinus,albicaulis,Pinus_Albicaulis,It is a valuable remedy used internally in the treatment of kidney and bladder complaints and is used both internally and as a rub and steam bath in the treatment of rheumatic pain.,This hardy pine can be found in windier and colder spots than other species.,7500,11000,Common,5,Med,1,0,0,0,0,0
11,Narrowcone pine,0,Pinopsida,Pinus,attenuata,Pinus_Attenuata,It is a valuable remedy used internally in the treatment of kidney and bladder complaints and is used both internally and as a rub and steam bath in the treatment of rheumatic pain.,"Found on dry, rocky slopes and ridges .",2600,4500,Uncommon,7,Med,1,0,0,0,0,0
12,Prickly ponderosa,0,Pinopsida,Pinus,ponderosa,Pinus_Ponderosa,Roots of ponderosa pine were used to make blue dye and needles were used as insulation for underground storage pits. Bark was used to cover houses.,"This pine has a particularly prickly pinecone which gives it its nickname ""Prickly Ponderosa""",4000,9000,Abundant,1,Easy,1,0,0,0,0,0
13,Grey leaf pine,0,Pinopsida,Pinus,sabiniana,Pinus_Sabiniana,"It has limited commercial use today, but it once was important to California Indians, who used its seeds and parts of cones, bark, and buds as food supplements, and its twigs, needles, cones, and resin in basket and drum construction.",This five needled pine has long cylindrical cones.,0,4000,Common,5,Med,1,0,0,0,0,0
14,Douglas Fir,0,Pinopsida,Pseudotsuga,menziesii,Pseudotsuga_Menziesii,"It is used as a poultice to treat cuts, burns, wounds and other skin ailments. The poultice is also used to treat injured or dislocated bones. The resin is used in the treatment of coughs and sore throats.",The cone has unique snake-tongue-like forks creeping out from under the scales.,0,5900,Abundant,1,Easy,1,0,0,0,0,1
15,California black oak,0,Magnoliopsida,Quercus,kelloggii,Quercus_Kelloggii,"Some California Native Americans preferred California black oak acorns over those of other species for making acorn meal. This acorn was a staple food for many Native American groups, comprising up to 60% of their diet.","The inner bark is bright yellow or yellow orange, distinguishing it from the other oaks, whose inner bark is more bland.",1000,7000,Common,5,Med,1,0,0,0,1,1
16,Valley oak,0,Magnoliopsida,Quercus,lobata,Quercus_Lobata,"Native Americans used valley oak acorns for making meal.  During the
last century, domestic pigs were driven to Central Valley oak woodlands for mast feedings.","A fast growing shade tree, these oaks can grow to 70` tall.",0,5600,Uncommon,7,Med,1,0,0,0,1,1
17,Snowplant,0,Magnoliopsida,Sarcodes,sanguinea,Sarcodes_Sanguinea,"The snow plant’s scientific name, sarcodes sanguinea , roughly translates to “the bloody flesh-like thing.” The snow plant does not need the sun to survive. 
It derives its nutrients from fungi in the soil.","This plant relies on the conifers to exist, so look around the tree line for its distinct red appearance.",4000,9000,Common,5,Med,1,0,0,0,0,1
18,Pacific Blue bellied Lizard,0,Reptilia,Sceloporus,occidentalis,Sceloporus_Occidentalis,"They can change color from light grey or tan to nearly jet black, but they probably use this ability for the purpose of thermoregulation","If you're quiet enough, you might sneak up on me while I'm sunbathing on a rock.",0,8800,Common,5,Med,1,1,1,0,0,0
19,Giant Redwood,0,Pinopsida,Sequoiadendron,giganteum,Sequoiadendron_Giganteum,"These ancient trees are the most massive and among the oldest of any living thing on Earth. This is particularly interesting because their pinecones are only 2"" long!",Look to the sky to identify these towering giants.,3000,7100,Common,5,Med,1,0,0,0,0,1
20,California nutmeg,0,Pinopsida,Torreya,californica,Torreya_Californica,"The seeds were a highly esteemed food of California Indians.  In
addition, Indians used the tree roots for making baskets, and the
wood for making bows.","Small, inconspicuous flowers appear each year in spring and early summer, although fruit production is very erratic and unreliable.",1000,6000,Uncommon,7,Med,1,0,0,0,0,1
21,Western poison oak,0,Magnoliopsida,Toxicodendron,diversilobum,Toxicodendron_Diversilobum,"While this plant is most known for giving humans a rash, it is also the most important black-tailed deer browse. It also feeds several types of birds, so it's not all bad!","This plant will have you reaching for the calamine lotion if you're not careful. It's also a seasonal chameleon, frequently changing its hues of green, yellow and red.",0,5000,Uncommon,7,Med,1,0,0,0,0,1
22,Myrtlewood,0,Magnoliopsida,Umbellularia,californica,Umbellularia_Californica,"Although the aroma of the leaves is known to cause headaches, they have also been used as an infusion and a poultice to treat this affliction. The leaves are also used internally to treat neuralgia, intestinal cramps and gastro-enteritis.",Crush and smell a leaf to see if it has a peppery aroma.,0,5500,Uncommon,7,Med,1,0,0,0,1,1
23,Not Recognized,0,,,,_,,,-1000,-999,,,,,,,,,
